epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
208/299,10.9G,0.02893,0.007802,0,0.03673,218,640,0.941,0.9029,0.9591,0.6436,0.05394,0.01994,0
209/299,10.9G,0.02687,0.007661,0,0.03453,185,640,0.9504,0.9032,0.9562,0.6464,0.05344,0.01995,0
210/299,10.9G,0.02841,0.007409,0,0.03581,131,640,0.919,0.9363,0.9617,0.6529,0.05284,0.0201,0
211/299,10.9G,0.02753,0.008021,0,0.03555,217,640,0.9231,0.9363,0.9611,0.651,0.05247,0.02003,0
212/299,10.9G,0.02615,0.00777,0,0.03392,193,640,0.9277,0.9386,0.9607,0.6496,0.05355,0.01989,0
213/299,10.9G,0.02666,0.007734,0,0.03439,209,640,0.9504,0.9033,0.9561,0.6462,0.05382,0.01995,0
214/299,10.9G,0.02845,0.008001,0,0.03645,197,640,0.942,0.9197,0.9598,0.648,0.05345,0.01997,0
215/299,10.9G,0.02773,0.007901,0,0.03563,198,640,0.9373,0.9174,0.9542,0.6462,0.05339,0.02004,0
216/299,10.9G,0.02753,0.007553,0,0.03509,219,640,0.9497,0.8915,0.9513,0.6433,0.05436,0.02011,0
217/299,10.9G,0.02948,0.006853,0,0.03633,145,640,0.9635,0.875,0.9503,0.6425,0.05482,0.02008,0
218/299,10.9G,0.02808,0.007489,0,0.03557,219,640,0.9403,0.8986,0.9542,0.6364,0.05393,0.02015,0
219/299,10.9G,0.02822,0.007339,0,0.03556,169,640,0.9518,0.8868,0.9561,0.6374,0.05464,0.01992,0
220/299,10.9G,0.02723,0.007693,0,0.03493,179,640,0.9385,0.9009,0.9569,0.6369,0.05435,0.02005,0
221/299,10.9G,0.02741,0.007382,0,0.03479,202,640,0.95,0.8961,0.9641,0.6454,0.05465,0.02,0
