epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
205/299,17.4G,0.02968,0.008634,0,0.03832,166,640,0.9023,0.9151,0.9492,0.6383,0.05626,0.01936,0
206/299,17.4G,0.0291,0.008349,0,0.03745,219,640,0.8984,0.9174,0.9476,0.6405,0.05629,0.01939,0
207/299,17.4G,0.02904,0.008435,0,0.03748,167,640,0.9308,0.8892,0.9473,0.6351,0.05631,0.01966,0
208/299,17.4G,0.03051,0.008594,0,0.0391,218,640,0.9063,0.9127,0.9511,0.6254,0.05569,0.01988,0
209/299,17.4G,0.03015,0.008567,0,0.03872,185,640,0.8999,0.9127,0.9462,0.6107,0.05643,0.01962,0
210/299,17.4G,0.03095,0.00827,0,0.03922,131,640,0.9379,0.8915,0.949,0.6106,0.05598,0.01974,0
211/299,17.4G,0.0301,0.008927,0,0.03902,217,640,0.9227,0.9009,0.951,0.6143,0.05517,0.01968,0
212/299,17.4G,0.02911,0.008598,0,0.03771,193,640,0.9302,0.8821,0.9491,0.6141,0.05558,0.0198,0
213/299,17.4G,0.02873,0.008679,0,0.03741,209,640,0.9282,0.8844,0.9431,0.6273,0.05634,0.01932,0
214/299,17.4G,0.03013,0.008806,0,0.03893,197,640,0.9067,0.9175,0.9497,0.6196,0.05616,0.01932,0
215/299,17.4G,0.02906,0.008824,0,0.03789,198,640,0.9236,0.9126,0.9492,0.6229,0.05621,0.01973,0
216/299,17.4G,0.02925,0.008472,0,0.03772,219,640,0.919,0.9101,0.9499,0.6252,0.05628,0.01967,0
217/299,17.4G,0.03074,0.007622,0,0.03836,145,640,0.9191,0.9151,0.954,0.6291,0.05573,0.01956,0
218/299,17.4G,0.02897,0.008326,0,0.03729,219,640,0.9205,0.9033,0.9556,0.6294,0.05526,0.01965,0
219/299,17.4G,0.02994,0.008194,0,0.03814,169,640,0.9177,0.8938,0.9533,0.6272,0.05621,0.0196,0
220/299,17.4G,0.02921,0.0085,0,0.03771,179,640,0.9148,0.9175,0.9554,0.635,0.05567,0.01967,0
221/299,17.4G,0.02935,0.008145,0,0.0375,202,640,0.9094,0.9245,0.9514,0.6282,0.05621,0.02005,0
