epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
161/299,12.8G,0.04512,0.007067,0,0.05218,181,640,0.9461,0.9103,0.9537,0.6454,0.05206,0.02286,0
162/299,12.8G,0.03982,0.007268,0,0.04709,199,640,0.9191,0.9127,0.9543,0.6393,0.05206,0.02347,0
163/299,12.8G,0.04852,0.007365,0,0.05589,168,640,0.9293,0.8986,0.9539,0.6412,0.05243,0.02288,0
164/299,12.8G,0.03898,0.007388,0,0.04637,226,640,0.9155,0.9198,0.9576,0.6442,0.05261,0.02273,0
165/299,12.8G,0.04093,0.00739,0,0.04832,185,640,0.9122,0.9315,0.9594,0.6465,0.0517,0.02235,0
166/299,12.8G,0.04699,0.007562,0,0.05456,228,640,0.9366,0.908,0.9559,0.6443,0.05142,0.02246,0
167/299,12.8G,0.04123,0.006935,0,0.04816,170,640,0.9322,0.9078,0.9543,0.642,0.05145,0.0226,0
168/299,12.8G,0.04422,0.007273,0,0.0515,190,640,0.9116,0.9245,0.957,0.6435,0.05162,0.02263,0
169/299,12.8G,0.04398,0.007422,0,0.0514,159,640,0.9095,0.9244,0.9562,0.6359,0.05134,0.02285,0
170/299,12.8G,0.04728,0.007351,0,0.05463,229,640,0.903,0.9221,0.9583,0.649,0.05159,0.02262,0
171/299,12.8G,0.0475,0.007277,0,0.05478,176,640,0.9588,0.8797,0.9605,0.6437,0.05164,0.0225,0
172/299,12.8G,0.04304,0.007151,0,0.05019,168,640,0.9365,0.9057,0.9602,0.6562,0.05142,0.02253,0
173/299,12.8G,0.04621,0.007162,0,0.05337,190,640,0.9523,0.8936,0.9572,0.6545,0.05126,0.0227,0
174/299,12.8G,0.0468,0.006844,0,0.05365,183,640,0.9501,0.9009,0.9575,0.6529,0.05165,0.02288,0
175/299,12.8G,0.05278,0.007027,0,0.0598,169,640,0.9566,0.8892,0.9541,0.6408,0.05131,0.02272,0
176/299,12.8G,0.04442,0.007035,0,0.05145,198,640,0.9498,0.8939,0.9533,0.6444,0.05111,0.02303,0
177/299,12.8G,0.04475,0.007495,0,0.05224,184,640,0.9214,0.9127,0.953,0.643,0.05091,0.02321,0
178/299,12.8G,0.04099,0.007196,0,0.04818,172,640,0.9179,0.9245,0.9551,0.6454,0.05078,0.02302,0
179/299,12.8G,0.04577,0.007161,0,0.05293,172,640,0.9198,0.9195,0.9572,0.6471,0.05055,0.02309,0
180/299,12.8G,0.04958,0.007311,0,0.05689,213,640,0.9525,0.8986,0.9576,0.6487,0.05093,0.02273,0
181/299,12.8G,0.03984,0.006852,0,0.04669,226,640,0.955,0.9006,0.9586,0.6466,0.05116,0.02283,0
182/299,12.8G,0.0456,0.007372,0,0.05298,178,640,0.9178,0.9222,0.9532,0.6468,0.05138,0.02295,0
183/299,12.8G,0.04319,0.007126,0,0.05031,175,640,0.9284,0.9174,0.9543,0.6442,0.05152,0.02263,0
184/299,12.8G,0.03962,0.007368,0,0.04699,228,640,0.9386,0.9009,0.9527,0.6467,0.05192,0.02256,0
185/299,12.8G,0.04138,0.00706,0,0.04844,190,640,0.9381,0.8962,0.9553,0.6483,0.05206,0.0227,0
186/299,12.8G,0.04036,0.006935,0,0.0473,157,640,0.9469,0.8868,0.9559,0.6463,0.05211,0.02255,0
187/299,12.8G,0.04234,0.006835,0,0.04917,175,640,0.9173,0.915,0.9577,0.649,0.05184,0.02271,0
